num_nodes,degree,edges,qw_weight,classic_weight,diferenca_entre_pesos
5,2,"[(0, 1, 13), (0, 2, 3), (0, 3, 10), (0, 4, 2), (1, 2, 17), (1, 3, 4), (1, 4, 3), (2, 3, 4), (2, 4, 4), (3, 4, 13)]",12,12,0
5,3,"[(0, 1, 13), (0, 2, 3), (0, 3, 10), (0, 4, 2), (1, 2, 17), (1, 3, 4), (1, 4, 3), (2, 3, 4), (2, 4, 4), (3, 4, 13)]",12,12,0
5,4,"[(0, 1, 13), (0, 2, 3), (0, 3, 10), (0, 4, 2), (1, 2, 17), (1, 3, 4), (1, 4, 3), (2, 3, 4), (2, 4, 4), (3, 4, 13)]",12,12,0
5,2,"[(0, 1, 16), (0, 2, 2), (0, 3, 3), (0, 4, 8), (1, 2, 14), (1, 3, 3), (1, 4, 16), (2, 3, 6), (2, 4, 1), (3, 4, 6)]",9,9,0
5,3,"[(0, 1, 16), (0, 2, 2), (0, 3, 3), (0, 4, 8), (1, 2, 14), (1, 3, 3), (1, 4, 16), (2, 3, 6), (2, 4, 1), (3, 4, 6)]",9,9,0
5,4,"[(0, 1, 16), (0, 2, 2), (0, 3, 3), (0, 4, 8), (1, 2, 14), (1, 3, 3), (1, 4, 16), (2, 3, 6), (2, 4, 1), (3, 4, 6)]",9,9,0
5,2,"[(0, 1, 17), (0, 2, 14), (0, 3, 5), (0, 4, 16), (1, 2, 1), (1, 3, 11), (1, 4, 6), (2, 3, 2), (2, 4, 3), (3, 4, 4)]",23,13,10
5,3,"[(0, 1, 17), (0, 2, 14), (0, 3, 5), (0, 4, 16), (1, 2, 1), (1, 3, 11), (1, 4, 6), (2, 3, 2), (2, 4, 3), (3, 4, 4)]",11,11,0
5,4,"[(0, 1, 17), (0, 2, 14), (0, 3, 5), (0, 4, 16), (1, 2, 1), (1, 3, 11), (1, 4, 6), (2, 3, 2), (2, 4, 3), (3, 4, 4)]",11,11,0
5,2,"[(0, 1, 12), (0, 2, 9), (0, 3, 5), (0, 4, 5), (1, 2, 10), (1, 3, 17), (1, 4, 12), (2, 3, 11), (2, 4, 4), (3, 4, 6)]",24,24,0
5,3,"[(0, 1, 12), (0, 2, 9), (0, 3, 5), (0, 4, 5), (1, 2, 10), (1, 3, 17), (1, 4, 12), (2, 3, 11), (2, 4, 4), (3, 4, 6)]",24,24,0
5,4,"[(0, 1, 12), (0, 2, 9), (0, 3, 5), (0, 4, 5), (1, 2, 10), (1, 3, 17), (1, 4, 12), (2, 3, 11), (2, 4, 4), (3, 4, 6)]",24,24,0
5,2,"[(0, 1, 1), (0, 2, 3), (0, 3, 4), (0, 4, 14), (1, 2, 17), (1, 3, 5), (1, 4, 1), (2, 3, 10), (2, 4, 14), (3, 4, 18)]",15,13,2
5,3,"[(0, 1, 1), (0, 2, 3), (0, 3, 4), (0, 4, 14), (1, 2, 17), (1, 3, 5), (1, 4, 1), (2, 3, 10), (2, 4, 14), (3, 4, 18)]",9,9,0
5,4,"[(0, 1, 1), (0, 2, 3), (0, 3, 4), (0, 4, 14), (1, 2, 17), (1, 3, 5), (1, 4, 1), (2, 3, 10), (2, 4, 14), (3, 4, 18)]",9,9,0
5,2,"[(0, 1, 6), (0, 2, 16), (0, 3, 3), (0, 4, 17), (1, 2, 6), (1, 3, 16), (1, 4, 6), (2, 3, 1), (2, 4, 10), (3, 4, 10)]",16,16,0
5,3,"[(0, 1, 6), (0, 2, 16), (0, 3, 3), (0, 4, 17), (1, 2, 6), (1, 3, 16), (1, 4, 6), (2, 3, 1), (2, 4, 10), (3, 4, 10)]",16,16,0
5,4,"[(0, 1, 6), (0, 2, 16), (0, 3, 3), (0, 4, 17), (1, 2, 6), (1, 3, 16), (1, 4, 6), (2, 3, 1), (2, 4, 10), (3, 4, 10)]",16,16,0
5,2,"[(0, 1, 9), (0, 2, 14), (0, 3, 5), (0, 4, 13), (1, 2, 13), (1, 3, 11), (1, 4, 14), (2, 3, 8), (2, 4, 2), (3, 4, 9)]",24,24,0
5,3,"[(0, 1, 9), (0, 2, 14), (0, 3, 5), (0, 4, 13), (1, 2, 13), (1, 3, 11), (1, 4, 14), (2, 3, 8), (2, 4, 2), (3, 4, 9)]",24,24,0
5,4,"[(0, 1, 9), (0, 2, 14), (0, 3, 5), (0, 4, 13), (1, 2, 13), (1, 3, 11), (1, 4, 14), (2, 3, 8), (2, 4, 2), (3, 4, 9)]",24,24,0
5,2,"[(0, 1, 18), (0, 2, 9), (0, 3, 8), (0, 4, 18), (1, 2, 17), (1, 3, 19), (1, 4, 5), (2, 3, 18), (2, 4, 8), (3, 4, 18)]",30,30,0
5,3,"[(0, 1, 18), (0, 2, 9), (0, 3, 8), (0, 4, 18), (1, 2, 17), (1, 3, 19), (1, 4, 5), (2, 3, 18), (2, 4, 8), (3, 4, 18)]",30,30,0
5,4,"[(0, 1, 18), (0, 2, 9), (0, 3, 8), (0, 4, 18), (1, 2, 17), (1, 3, 19), (1, 4, 5), (2, 3, 18), (2, 4, 8), (3, 4, 18)]",30,30,0
5,2,"[(0, 1, 8), (0, 2, 17), (0, 3, 10), (0, 4, 3), (1, 2, 3), (1, 3, 10), (1, 4, 7), (2, 3, 6), (2, 4, 6), (3, 4, 12)]",19,19,0
5,3,"[(0, 1, 8), (0, 2, 17), (0, 3, 10), (0, 4, 3), (1, 2, 3), (1, 3, 10), (1, 4, 7), (2, 3, 6), (2, 4, 6), (3, 4, 12)]",18,18,0
5,4,"[(0, 1, 8), (0, 2, 17), (0, 3, 10), (0, 4, 3), (1, 2, 3), (1, 3, 10), (1, 4, 7), (2, 3, 6), (2, 4, 6), (3, 4, 12)]",18,18,0
5,2,"[(0, 1, 9), (0, 2, 9), (0, 3, 3), (0, 4, 8), (1, 2, 9), (1, 3, 9), (1, 4, 6), (2, 3, 18), (2, 4, 8), (3, 4, 13)]",26,26,0
