num_nodes,degree,edges,qw_weight,classic_weight,diferenca_entre_pesos
6,2,"[(0, 1, 17), (0, 2, 3), (0, 3, 4), (0, 4, 4), (0, 5, 17), (1, 2, 13), (1, 3, 5), (1, 4, 17), (1, 5, 3), (2, 3, 17), (2, 4, 5), (2, 5, 17), (3, 4, 17), (3, 5, 12), (4, 5, 8)]",23,20,3
6,3,"[(0, 1, 17), (0, 2, 3), (0, 3, 4), (0, 4, 4), (0, 5, 17), (1, 2, 13), (1, 3, 5), (1, 4, 17), (1, 5, 3), (2, 3, 17), (2, 4, 5), (2, 5, 17), (3, 4, 17), (3, 5, 12), (4, 5, 8)]",19,19,0
6,4,"[(0, 1, 17), (0, 2, 3), (0, 3, 4), (0, 4, 4), (0, 5, 17), (1, 2, 13), (1, 3, 5), (1, 4, 17), (1, 5, 3), (2, 3, 17), (2, 4, 5), (2, 5, 17), (3, 4, 17), (3, 5, 12), (4, 5, 8)]",19,19,0
6,5,"[(0, 1, 17), (0, 2, 3), (0, 3, 4), (0, 4, 4), (0, 5, 17), (1, 2, 13), (1, 3, 5), (1, 4, 17), (1, 5, 3), (2, 3, 17), (2, 4, 5), (2, 5, 17), (3, 4, 17), (3, 5, 12), (4, 5, 8)]",19,19,0
6,2,"[(0, 1, 4), (0, 2, 16), (0, 3, 4), (0, 4, 15), (0, 5, 1), (1, 2, 15), (1, 3, 8), (1, 4, 7), (1, 5, 17), (2, 3, 7), (2, 4, 7), (2, 5, 10), (3, 4, 14), (3, 5, 17), (4, 5, 8)]",26,26,0
6,3,"[(0, 1, 4), (0, 2, 16), (0, 3, 4), (0, 4, 15), (0, 5, 1), (1, 2, 15), (1, 3, 8), (1, 4, 7), (1, 5, 17), (2, 3, 7), (2, 4, 7), (2, 5, 10), (3, 4, 14), (3, 5, 17), (4, 5, 8)]",23,23,0
6,4,"[(0, 1, 4), (0, 2, 16), (0, 3, 4), (0, 4, 15), (0, 5, 1), (1, 2, 15), (1, 3, 8), (1, 4, 7), (1, 5, 17), (2, 3, 7), (2, 4, 7), (2, 5, 10), (3, 4, 14), (3, 5, 17), (4, 5, 8)]",23,23,0
6,5,"[(0, 1, 4), (0, 2, 16), (0, 3, 4), (0, 4, 15), (0, 5, 1), (1, 2, 15), (1, 3, 8), (1, 4, 7), (1, 5, 17), (2, 3, 7), (2, 4, 7), (2, 5, 10), (3, 4, 14), (3, 5, 17), (4, 5, 8)]",23,23,0
6,2,"[(0, 1, 8), (0, 2, 9), (0, 3, 13), (0, 4, 1), (0, 5, 15), (1, 2, 4), (1, 3, 9), (1, 4, 13), (1, 5, 11), (2, 3, 5), (2, 4, 14), (2, 5, 12), (3, 4, 14), (3, 5, 6), (4, 5, 8)]",24,24,0
6,3,"[(0, 1, 8), (0, 2, 9), (0, 3, 13), (0, 4, 1), (0, 5, 15), (1, 2, 4), (1, 3, 9), (1, 4, 13), (1, 5, 11), (2, 3, 5), (2, 4, 14), (2, 5, 12), (3, 4, 14), (3, 5, 6), (4, 5, 8)]",24,24,0
6,4,"[(0, 1, 8), (0, 2, 9), (0, 3, 13), (0, 4, 1), (0, 5, 15), (1, 2, 4), (1, 3, 9), (1, 4, 13), (1, 5, 11), (2, 3, 5), (2, 4, 14), (2, 5, 12), (3, 4, 14), (3, 5, 6), (4, 5, 8)]",24,24,0
6,5,"[(0, 1, 8), (0, 2, 9), (0, 3, 13), (0, 4, 1), (0, 5, 15), (1, 2, 4), (1, 3, 9), (1, 4, 13), (1, 5, 11), (2, 3, 5), (2, 4, 14), (2, 5, 12), (3, 4, 14), (3, 5, 6), (4, 5, 8)]",24,24,0
6,2,"[(0, 1, 17), (0, 2, 6), (0, 3, 17), (0, 4, 18), (0, 5, 11), (1, 2, 19), (1, 3, 9), (1, 4, 5), (1, 5, 15), (2, 3, 18), (2, 4, 2), (2, 5, 11), (3, 4, 16), (3, 5, 15), (4, 5, 17)]",33,33,0
