num_nodes,degree,edges,qw_weight,classic_weight,diferenca_entre_pesos
8,2,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",30,25,5
8,3,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",20,20,0
8,4,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",20,20,0
8,5,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",20,20,0
8,6,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",20,20,0
8,7,"[(0, 1, 10), (0, 2, 18), (0, 3, 3), (0, 4, 17), (0, 5, 3), (0, 6, 19), (0, 7, 18), (1, 2, 15), (1, 3, 1), (1, 4, 10), (1, 5, 9), (1, 6, 3), (1, 7, 5), (2, 3, 1), (2, 4, 8), (2, 5, 6), (2, 6, 7), (2, 7, 1), (3, 4, 14), (3, 5, 4), (3, 6, 17), (3, 7, 15), (4, 5, 11), (4, 6, 14), (4, 7, 18), (5, 6, 4), (5, 7, 12), (6, 7, 10)]",20,20,0
8,2,"[(0, 1, 3), (0, 2, 9), (0, 3, 15), (0, 4, 8), (0, 5, 18), (0, 6, 13), (0, 7, 4), (1, 2, 17), (1, 3, 8), (1, 4, 10), (1, 5, 1), (1, 6, 16), (1, 7, 10), (2, 3, 4), (2, 4, 9), (2, 5, 8), (2, 6, 6), (2, 7, 9), (3, 4, 4), (3, 5, 14), (3, 6, 11), (3, 7, 2), (4, 5, 7), (4, 6, 17), (4, 7, 16), (5, 6, 19), (5, 7, 7), (6, 7, 8)]",27,27,0
8,3,"[(0, 1, 3), (0, 2, 9), (0, 3, 15), (0, 4, 8), (0, 5, 18), (0, 6, 13), (0, 7, 4), (1, 2, 17), (1, 3, 8), (1, 4, 10), (1, 5, 1), (1, 6, 16), (1, 7, 10), (2, 3, 4), (2, 4, 9), (2, 5, 8), (2, 6, 6), (2, 7, 9), (3, 4, 4), (3, 5, 14), (3, 6, 11), (3, 7, 2), (4, 5, 7), (4, 6, 17), (4, 7, 16), (5, 6, 19), (5, 7, 7), (6, 7, 8)]",24,24,0
8,4,"[(0, 1, 3), (0, 2, 9), (0, 3, 15), (0, 4, 8), (0, 5, 18), (0, 6, 13), (0, 7, 4), (1, 2, 17), (1, 3, 8), (1, 4, 10), (1, 5, 1), (1, 6, 16), (1, 7, 10), (2, 3, 4), (2, 4, 9), (2, 5, 8), (2, 6, 6), (2, 7, 9), (3, 4, 4), (3, 5, 14), (3, 6, 11), (3, 7, 2), (4, 5, 7), (4, 6, 17), (4, 7, 16), (5, 6, 19), (5, 7, 7), (6, 7, 8)]",24,24,0
8,5,"[(0, 1, 3), (0, 2, 9), (0, 3, 15), (0, 4, 8), (0, 5, 18), (0, 6, 13), (0, 7, 4), (1, 2, 17), (1, 3, 8), (1, 4, 10), (1, 5, 1), (1, 6, 16), (1, 7, 10), (2, 3, 4), (2, 4, 9), (2, 5, 8), (2, 6, 6), (2, 7, 9), (3, 4, 4), (3, 5, 14), (3, 6, 11), (3, 7, 2), (4, 5, 7), (4, 6, 17), (4, 7, 16), (5, 6, 19), (5, 7, 7), (6, 7, 8)]",24,24,0
