num_nodes,degree,edges,qw_weight,classic_weight,diferenca_entre_pesos
4,2,"[(0, 1, 1), (0, 2, 7), (0, 3, 13), (1, 2, 3), (1, 3, 11), (2, 3, 3)]",7,7,0
4,3,"[(0, 1, 1), (0, 2, 7), (0, 3, 13), (1, 2, 3), (1, 3, 11), (2, 3, 3)]",7,7,0
4,2,"[(0, 1, 15), (0, 2, 14), (0, 3, 7), (1, 2, 15), (1, 3, 7), (2, 3, 19)]",28,28,0
4,3,"[(0, 1, 15), (0, 2, 14), (0, 3, 7), (1, 2, 15), (1, 3, 7), (2, 3, 19)]",28,28,0
4,2,"[(0, 1, 12), (0, 2, 5), (0, 3, 1), (1, 2, 16), (1, 3, 19), (2, 3, 6)]",22,19,3
4,3,"[(0, 1, 12), (0, 2, 5), (0, 3, 1), (1, 2, 16), (1, 3, 19), (2, 3, 6)]",18,18,0
4,2,"[(0, 1, 19), (0, 2, 17), (0, 3, 18), (1, 2, 5), (1, 3, 5), (2, 3, 15)]",27,27,0
4,3,"[(0, 1, 19), (0, 2, 17), (0, 3, 18), (1, 2, 5), (1, 3, 5), (2, 3, 15)]",27,27,0
4,2,"[(0, 1, 18), (0, 2, 18), (0, 3, 16), (1, 2, 4), (1, 3, 19), (2, 3, 18)]",38,38,0
4,3,"[(0, 1, 18), (0, 2, 18), (0, 3, 16), (1, 2, 4), (1, 3, 19), (2, 3, 18)]",38,38,0
4,2,"[(0, 1, 17), (0, 2, 11), (0, 3, 6), (1, 2, 15), (1, 3, 12), (2, 3, 9)]",30,29,1
4,3,"[(0, 1, 17), (0, 2, 11), (0, 3, 6), (1, 2, 15), (1, 3, 12), (2, 3, 9)]",27,27,0
4,2,"[(0, 1, 14), (0, 2, 6), (0, 3, 17), (1, 2, 7), (1, 3, 10), (2, 3, 10)]",23,23,0
4,3,"[(0, 1, 14), (0, 2, 6), (0, 3, 17), (1, 2, 7), (1, 3, 10), (2, 3, 10)]",23,23,0
4,2,"[(0, 1, 19), (0, 2, 5), (0, 3, 10), (1, 2, 15), (1, 3, 11), (2, 3, 10)]",26,26,0
4,3,"[(0, 1, 19), (0, 2, 5), (0, 3, 10), (1, 2, 15), (1, 3, 11), (2, 3, 10)]",26,26,0
4,2,"[(0, 1, 17), (0, 2, 18), (0, 3, 16), (1, 2, 14), (1, 3, 17), (2, 3, 10)]",40,40,0
4,3,"[(0, 1, 17), (0, 2, 18), (0, 3, 16), (1, 2, 14), (1, 3, 17), (2, 3, 10)]",40,40,0
4,2,"[(0, 1, 2), (0, 2, 12), (0, 3, 4), (1, 2, 13), (1, 3, 18), (2, 3, 3)]",9,9,0
4,3,"[(0, 1, 2), (0, 2, 12), (0, 3, 4), (1, 2, 13), (1, 3, 18), (2, 3, 3)]",9,9,0
4,2,"[(0, 1, 8), (0, 2, 6), (0, 3, 18), (1, 2, 17), (1, 3, 19), (2, 3, 15)]",29,29,0
4,3,"[(0, 1, 8), (0, 2, 6), (0, 3, 18), (1, 2, 17), (1, 3, 19), (2, 3, 15)]",29,29,0
4,2,"[(0, 1, 9), (0, 2, 4), (0, 3, 2), (1, 2, 17), (1, 3, 4), (2, 3, 3)]",14,10,4
4,3,"[(0, 1, 9), (0, 2, 4), (0, 3, 2), (1, 2, 17), (1, 3, 4), (2, 3, 3)]",9,9,0
4,2,"[(0, 1, 19), (0, 2, 1), (0, 3, 15), (1, 2, 1), (1, 3, 15), (2, 3, 13)]",17,17,0
4,3,"[(0, 1, 19), (0, 2, 1), (0, 3, 15), (1, 2, 1), (1, 3, 15), (2, 3, 13)]",15,15,0
4,2,"[(0, 1, 11), (0, 2, 7), (0, 3, 1), (1, 2, 8), (1, 3, 14), (2, 3, 7)]",16,16,0
4,3,"[(0, 1, 11), (0, 2, 7), (0, 3, 1), (1, 2, 8), (1, 3, 14), (2, 3, 7)]",16,16,0
4,2,"[(0, 1, 6), (0, 2, 8), (0, 3, 11), (1, 2, 15), (1, 3, 13), (2, 3, 6)]",20,20,0
4,3,"[(0, 1, 6), (0, 2, 8), (0, 3, 11), (1, 2, 15), (1, 3, 13), (2, 3, 6)]",20,20,0
4,2,"[(0, 1, 8), (0, 2, 7), (0, 3, 14), (1, 2, 4), (1, 3, 19), (2, 3, 2)]",14,14,0
4,3,"[(0, 1, 8), (0, 2, 7), (0, 3, 14), (1, 2, 4), (1, 3, 19), (2, 3, 2)]",13,13,0
4,2,"[(0, 1, 10), (0, 2, 19), (0, 3, 17), (1, 2, 5), (1, 3, 3), (2, 3, 10)]",25,23,2
4,3,"[(0, 1, 10), (0, 2, 19), (0, 3, 17), (1, 2, 5), (1, 3, 3), (2, 3, 10)]",18,18,0
4,2,"[(0, 1, 12), (0, 2, 7), (0, 3, 3), (1, 2, 13), (1, 3, 8), (2, 3, 6)]",21,18,3
4,3,"[(0, 1, 12), (0, 2, 7), (0, 3, 3), (1, 2, 13), (1, 3, 8), (2, 3, 6)]",17,17,0
4,2,"[(0, 1, 3), (0, 2, 1), (0, 3, 9), (1, 2, 1), (1, 3, 9), (2, 3, 16)]",11,11,0
4,3,"[(0, 1, 3), (0, 2, 1), (0, 3, 9), (1, 2, 1), (1, 3, 9), (2, 3, 16)]",11,11,0
4,2,"[(0, 1, 1), (0, 2, 10), (0, 3, 2), (1, 2, 7), (1, 3, 11), (2, 3, 5)]",8,8,0
4,3,"[(0, 1, 1), (0, 2, 10), (0, 3, 2), (1, 2, 7), (1, 3, 11), (2, 3, 5)]",8,8,0
4,2,"[(0, 1, 3), (0, 2, 5), (0, 3, 1), (1, 2, 10), (1, 3, 16), (2, 3, 13)]",14,14,0
4,3,"[(0, 1, 3), (0, 2, 5), (0, 3, 1), (1, 2, 10), (1, 3, 16), (2, 3, 13)]",9,9,0
4,2,"[(0, 1, 14), (0, 2, 3), (0, 3, 15), (1, 2, 4), (1, 3, 10), (2, 3, 3)]",16,16,0
4,3,"[(0, 1, 14), (0, 2, 3), (0, 3, 15), (1, 2, 4), (1, 3, 10), (2, 3, 3)]",10,10,0
4,2,"[(0, 1, 14), (0, 2, 15), (0, 3, 4), (1, 2, 4), (1, 3, 7), (2, 3, 3)]",11,11,0
4,3,"[(0, 1, 14), (0, 2, 15), (0, 3, 4), (1, 2, 4), (1, 3, 7), (2, 3, 3)]",11,11,0
4,2,"[(0, 1, 8), (0, 2, 15), (0, 3, 16), (1, 2, 13), (1, 3, 16), (2, 3, 4)]",25,25,0
4,3,"[(0, 1, 8), (0, 2, 15), (0, 3, 16), (1, 2, 13), (1, 3, 16), (2, 3, 4)]",25,25,0
